date,sku,quantity,revenue,platform
2025-06-24,SKU-043,2,41,Temu
2025-10-16,SKU-052,3,75,Temu
2026-04-19,SKU-026,5,534,Temu
2025-10-07,SKU-023,5,704,Shopify
2026-02-17,SKU-026,4,546,Amazon
2025-12-10,SKU-058,2,551,Walmart
2026-04-06,SKU-026,4,600,eBay
2026-04-29,SKU-049,5,64,Temu
2025-10-26,SKU-016,5,1000,Shopify
2025-05-26,SKU-044,2,50,eBay
2026-04-24,SKU-037,5,245,eBay
2026-03-09,SKU-014,5,333,Shopify
2025-05-27,SKU-052,3,85,eBay
2026-01-31,SKU-058,5,631,Amazon
2025-12-13,SKU-055,3,206,Amazon
2025-08-02,SKU-055,5,114,eBay
2026-05-08,SKU-039,5,119,Walmart
2026-05-11,SKU-009,4,119,eBay
2025-12-19,SKU-040,3,191,Temu
2026-05-01,SKU-030,5,127,eBay
2025-10-21,SKU-018,5,173,eBay
2026-02-03,SKU-043,2,37,eBay
2026-01-18,SKU-012,1,205,Walmart
2025-06-28,SKU-047,3,176,eBay
2025-07-26,SKU-060,1,177,Temu
2026-03-29,SKU-047,1,266,Shopify
2026-01-24,SKU-043,4,51,Amazon
2026-01-29,SKU-059,1,167,Temu
2025-11-28,SKU-056,3,158,Shopify
2025-07-18,SKU-033,3,262,eBay
2026-03-22,SKU-022,1,182,Amazon
2025-05-20,SKU-004,4,279,Amazon
2026-03-15,SKU-019,2,227,Amazon
2025-09-04,SKU-059,5,175,Amazon
2026-02-24,SKU-005,3,363,Walmart
2025-06-06,SKU-034,2,300,Walmart
2026-01-21,SKU-026,2,518,Amazon
2025-07-29,SKU-042,3,67,Amazon
2025-09-21,SKU-016,1,1035,Shopify
2025-08-15,SKU-030,1,229,Amazon
2025-12-10,SKU-010,3,118,Temu
2025-11-15,SKU-053,2,1048,Walmart
2025-10-01,SKU-020,5,204,Walmart
2025-06-11,SKU-043,1,34,Amazon
2025-06-13,SKU-002,1,225,Amazon
2025-10-29,SKU-016,3,1084,Amazon
2025-08-30,SKU-017,5,210,Shopify
2025-12-18,SKU-035,3,82,Walmart
2025-12-09,SKU-048,5,282,Amazon
2026-02-05,SKU-032,3,101,eBay
2026-04-20,SKU-022,4,165,Amazon
2025-08-16,SKU-047,5,229,Temu
2026-03-20,SKU-018,2,215,Walmart
2025-12-13,SKU-046,4,657,Walmart
2025-07-26,SKU-060,5,126,Temu
2025-06-03,SKU-029,4,132,Temu
2025-06-25,SKU-040,1,126,Shopify
2025-10-09,SKU-060,2,114,Amazon
2025-11-29,SKU-034,5,253,Temu
2025-11-05,SKU-039,2,125,Walmart
2025-09-10,SKU-030,5,141,Amazon
2026-04-30,SKU-009,5,152,eBay
2025-10-05,SKU-044,3,41,Shopify
2026-02-15,SKU-009,5,87,Amazon
2025-08-12,SKU-045,3,771,Amazon
2025-06-18,SKU-014,4,544,Shopify
2025-08-27,SKU-051,5,75,Walmart
2025-08-30,SKU-035,3,125,Temu
2026-05-09,SKU-004,1,286,Temu
2025-11-29,SKU-059,3,111,Amazon
2025-10-13,SKU-043,3,61,Shopify
2025-09-11,SKU-015,1,751,Amazon
2025-06-17,SKU-035,2,123,eBay
2025-08-11,SKU-039,3,138,Walmart
2025-12-12,SKU-026,2,492,Temu
2026-03-04,SKU-032,5,110,eBay
2026-03-30,SKU-030,1,223,Amazon
2026-04-07,SKU-037,5,163,Walmart
2025-07-14,SKU-006,1,440,Walmart
2026-01-17,SKU-011,4,271,eBay
2025-08-31,SKU-004,4,244,Walmart
2025-09-03,SKU-029,1,156,Temu
2026-04-09,SKU-010,3,86,Walmart
2026-03-10,SKU-017,4,207,eBay
2026-01-11,SKU-060,1,158,eBay
2025-11-02,SKU-022,4,193,Temu
2025-11-12,SKU-045,2,602,eBay
2025-10-08,SKU-014,4,436,Walmart
2025-05-18,SKU-013,2,361,Shopify
2025-09-06,SKU-052,1,93,Amazon
2026-03-17,SKU-059,5,114,Walmart
2026-01-11,SKU-046,5,535,Amazon
2026-03-14,SKU-035,3,79,Shopify
2025-11-04,SKU-012,5,264,Shopify
2025-10-13,SKU-026,2,662,Walmart
2025-06-23,SKU-029,4,206,eBay
2025-11-26,SKU-032,3,114,Temu
2025-11-02,SKU-039,4,135,Temu
2025-08-05,SKU-033,1,376,Shopify
2026-04-13,SKU-012,4,217,eBay
2026-03-09,SKU-026,1,673,Shopify
2026-03-28,SKU-026,3,626,Amazon
2025-06-25,SKU-053,1,1063,Walmart
2025-11-10,SKU-053,3,711,Shopify
2025-06-01,SKU-056,1,141,Temu
2025-05-20,SKU-028,5,91,Walmart
2025-06-11,SKU-055,3,201,Amazon
2025-11-24,SKU-035,5,120,Shopify
2025-09-03,SKU-054,2,659,Shopify
2025-08-28,SKU-030,3,208,Walmart
2025-06-15,SKU-006,1,347,Temu
2025-08-21,SKU-059,3,111,Shopify
2026-02-25,SKU-054,1,1165,eBay
2025-08-24,SKU-002,3,226,Temu
2026-01-30,SKU-047,5,234,Temu
2025-10-03,SKU-030,5,213,Temu
2026-01-31,SKU-036,4,128,Temu
2026-03-23,SKU-044,5,39,Shopify
2025-10-24,SKU-057,2,603,Amazon
2025-06-05,SKU-057,3,487,Shopify
2026-02-07,SKU-029,5,208,Walmart
2025-12-28,SKU-038,2,239,Temu
2025-07-05,SKU-052,1,71,Walmart
2025-08-25,SKU-048,1,208,Amazon
2025-07-05,SKU-058,2,365,eBay
2025-07-12,SKU-033,1,334,Amazon
2026-03-24,SKU-015,5,802,eBay
2026-03-13,SKU-026,3,477,eBay
2025-11-12,SKU-002,1,205,Walmart
2026-01-08,SKU-021,5,153,Temu
2025-08-24,SKU-030,3,206,Walmart
2026-03-22,SKU-043,1,63,Walmart
2025-09-25,SKU-003,2,360,Shopify
2026-01-02,SKU-036,2,96,eBay
2025-10-18,SKU-007,5,80,Shopify
2025-12-21,SKU-037,4,249,Temu
2026-03-10,SKU-007,3,103,Amazon
2025-12-14,SKU-020,2,147,Shopify
2026-05-02,SKU-006,1,342,Temu
2025-10-10,SKU-022,5,138,Temu
2025-08-02,SKU-049,4,66,Amazon
2026-01-14,SKU-056,3,133,Walmart
2025-12-26,SKU-039,3,110,Walmart
2025-07-13,SKU-017,3,284,eBay
2026-05-12,SKU-029,4,185,Walmart
2025-07-24,SKU-032,4,63,Amazon
2026-01-19,SKU-011,2,225,Amazon
2026-03-11,SKU-047,2,287,Temu
2026-04-13,SKU-042,1,71,eBay
2025-06-17,SKU-037,4,144,Amazon
2025-10-09,SKU-033,3,273,Temu
2026-03-10,SKU-015,2,954,Shopify
2025-08-26,SKU-018,2,167,Shopify
2025-11-07,SKU-051,1,83,Amazon
2025-06-21,SKU-045,2,603,Temu
2025-06-23,SKU-028,5,82,eBay
2025-09-09,SKU-010,3,145,Walmart
2025-08-10,SKU-022,4,154,Walmart
2026-05-03,SKU-042,3,47,eBay
2025-09-28,SKU-049,3,63,eBay
2026-04-08,SKU-022,1,161,eBay
2025-07-24,SKU-039,4,185,Walmart
2026-03-31,SKU-003,4,249,eBay
2025-11-24,SKU-042,1,49,Shopify
2025-06-21,SKU-036,2,92,Amazon
2026-04-23,SKU-021,4,193,Shopify
2026-02-15,SKU-004,2,279,Temu
2025-10-04,SKU-009,2,99,Temu
2026-03-23,SKU-019,1,226,Temu
2025-06-12,SKU-046,2,564,Shopify
2026-01-31,SKU-016,3,763,Shopify
2025-06-11,SKU-026,5,495,Shopify
2025-08-08,SKU-008,4,95,Walmart
2025-11-16,SKU-021,5,168,eBay
2025-12-10,SKU-037,4,191,Walmart
2025-10-15,SKU-010,2,101,Temu
2025-07-30,SKU-039,2,113,Walmart
2026-01-29,SKU-053,1,682,Walmart
2025-08-18,SKU-027,4,82,Walmart
2025-07-19,SKU-023,4,492,Walmart
2025-06-26,SKU-043,4,41,Temu
2025-05-29,SKU-059,1,171,Shopify
2025-08-26,SKU-009,1,133,Amazon
2026-03-22,SKU-034,3,348,Amazon
2026-03-11,SKU-011,4,205,Shopify
2025-09-19,SKU-043,4,42,Temu
2025-10-20,SKU-012,5,224,eBay
2025-08-01,SKU-004,2,248,Temu
2026-05-12,SKU-039,4,140,Walmart
2026-05-06,SKU-040,3,166,Temu
2026-03-29,SKU-028,4,76,Temu
2025-10-07,SKU-037,2,157,Amazon
2025-08-27,SKU-051,1,94,Shopify
2026-02-08,SKU-042,4,72,Amazon
2026-01-17,SKU-032,5,86,Walmart
2025-06-16,SKU-031,4,66,Temu
2026-02-01,SKU-010,2,96,Temu
2026-05-13,SKU-059,4,147,Temu
2025-08-15,SKU-042,4,69,Shopify
2026-04-11,SKU-004,1,376,Walmart
2025-07-27,SKU-039,5,111,Shopify
2026-01-07,SKU-017,3,186,Temu
2026-04-22,SKU-042,1,56,Temu
2026-02-06,SKU-009,1,100,Shopify
2025-10-03,SKU-007,4,125,eBay
2026-04-27,SKU-001,1,161,Walmart
2025-08-26,SKU-020,1,209,Shopify
2026-04-17,SKU-047,4,281,Amazon
2025-11-21,SKU-044,1,55,Temu
2025-11-28,SKU-013,2,449,Amazon
2026-04-28,SKU-041,2,53,Shopify
2025-05-30,SKU-056,4,131,Temu
2025-07-29,SKU-037,3,166,Temu
2025-09-15,SKU-022,5,135,eBay
2025-05-30,SKU-053,4,1147,Walmart
2026-02-18,SKU-056,2,184,Shopify
2026-02-15,SKU-057,3,572,eBay
2026-03-30,SKU-041,2,76,eBay
2026-04-25,SKU-016,2,1022,eBay
2025-08-30,SKU-005,4,307,Walmart
2026-03-28,SKU-044,2,48,Shopify
2025-06-23,SKU-054,3,1006,Shopify
2025-05-18,SKU-055,5,203,Temu
2025-08-21,SKU-019,4,169,Walmart
2025-06-24,SKU-059,2,172,Walmart
2025-09-01,SKU-016,5,888,Shopify
2026-04-28,SKU-028,1,74,Temu
2025-11-27,SKU-034,1,326,Walmart
2025-09-30,SKU-052,2,111,Walmart
2025-08-11,SKU-051,1,113,Temu
2025-05-21,SKU-019,1,167,eBay
2025-07-17,SKU-051,2,64,Temu
2025-12-20,SKU-044,3,59,eBay
2026-04-13,SKU-002,5,162,Amazon
2026-01-21,SKU-025,4,693,Amazon
2025-11-05,SKU-003,5,324,Shopify
2026-01-26,SKU-014,3,411,Walmart
2026-04-05,SKU-052,3,113,Temu
2025-09-25,SKU-025,2,611,Temu
2025-09-28,SKU-008,1,97,Temu
2025-07-23,SKU-060,5,121,Temu
2026-04-07,SKU-057,5,422,Temu
2025-09-07,SKU-024,4,624,Shopify
2026-01-29,SKU-016,1,1009,Amazon
2025-10-15,SKU-017,3,249,Temu
2026-05-09,SKU-023,2,541,Temu
2026-04-27,SKU-008,1,112,Shopify
2025-05-25,SKU-014,2,489,eBay
2025-12-29,SKU-035,4,124,Amazon
2026-02-05,SKU-023,1,882,Temu
2025-07-17,SKU-027,4,86,Temu
2026-01-05,SKU-058,2,567,eBay
2025-10-28,SKU-060,5,138,Shopify
2025-11-18,SKU-014,4,467,Shopify
2025-07-29,SKU-010,5,117,Temu
2025-09-07,SKU-040,2,186,eBay
2025-07-15,SKU-014,1,372,eBay
2025-08-10,SKU-053,3,1159,Walmart
2026-03-11,SKU-025,1,639,Walmart
2026-02-09,SKU-028,2,105,Shopify
2026-03-04,SKU-047,5,194,Temu
2026-02-11,SKU-008,3,84,Walmart
2026-04-02,SKU-035,3,105,Shopify
2025-10-18,SKU-035,5,129,Temu
2025-09-15,SKU-015,5,1149,eBay
2025-07-07,SKU-058,3,551,eBay
2025-05-15,SKU-044,3,40,Walmart
2025-11-22,SKU-014,3,373,eBay
2025-08-30,SKU-022,1,121,Shopify
2026-01-12,SKU-020,1,195,Temu
2025-06-13,SKU-033,2,212,Amazon
2025-12-14,SKU-018,4,269,Walmart
2025-06-11,SKU-008,5,115,Amazon
2025-08-26,SKU-057,1,570,Shopify
2026-03-22,SKU-056,3,152,eBay
2025-05-15,SKU-048,4,312,Amazon
2025-08-14,SKU-047,3,288,eBay
2025-05-23,SKU-026,3,540,Temu
2026-05-11,SKU-019,1,214,Temu
2025-06-28,SKU-058,2,378,Temu
2025-12-23,SKU-045,2,543,Temu
2025-12-03,SKU-032,1,74,Temu
2025-11-21,SKU-030,1,179,Shopify
2026-02-11,SKU-045,3,571,Shopify
2025-08-21,SKU-029,2,164,Temu
2026-03-05,SKU-056,3,143,Walmart
2026-04-13,SKU-028,5,104,Shopify
2026-03-13,SKU-008,1,103,Temu
2025-09-26,SKU-035,3,78,eBay
2026-05-08,SKU-054,2,910,Walmart
2026-01-11,SKU-017,4,260,Amazon
2025-12-22,SKU-023,4,687,eBay
2025-06-04,SKU-026,2,675,Walmart
2026-05-14,SKU-021,3,147,Temu
2026-03-18,SKU-044,4,62,Amazon
2025-09-08,SKU-019,3,242,Amazon
2025-09-01,SKU-030,2,142,Amazon
2026-03-11,SKU-052,3,89,Walmart
2026-02-20,SKU-043,3,47,Shopify
2025-08-12,SKU-005,3,386,Shopify
2026-05-08,SKU-047,5,234,Temu
2025-11-09,SKU-026,5,523,Shopify
2025-09-18,SKU-011,1,285,Amazon
2025-07-09,SKU-016,5,956,Shopify
2026-01-07,SKU-013,2,574,Walmart
2025-08-15,SKU-060,3,172,Amazon
2025-09-10,SKU-004,5,237,Temu
2026-04-02,SKU-044,5,61,Walmart
2025-12-27,SKU-024,2,884,Temu
2025-09-30,SKU-027,1,97,Temu
2026-04-06,SKU-020,4,222,Temu
2026-02-18,SKU-028,5,68,Shopify
2025-11-02,SKU-004,5,228,Walmart
2026-04-12,SKU-021,2,141,Amazon
2026-02-07,SKU-055,5,113,Shopify
2025-07-17,SKU-052,5,96,Shopify
2025-09-04,SKU-035,2,85,Shopify
2025-11-16,SKU-054,5,1021,Temu
2025-10-06,SKU-055,3,115,Shopify
2025-09-10,SKU-011,3,200,Amazon
2025-09-10,SKU-021,3,136,Amazon
2025-07-03,SKU-035,3,110,Walmart
2026-03-12,SKU-025,1,501,Shopify
2025-05-27,SKU-056,3,150,eBay
2025-12-05,SKU-014,3,393,Amazon
2025-11-09,SKU-035,1,134,Walmart
2025-10-26,SKU-036,4,101,eBay
2025-11-15,SKU-017,1,201,Shopify
2025-11-30,SKU-026,2,770,eBay
2025-12-22,SKU-020,4,196,eBay
2026-03-08,SKU-041,3,55,Walmart
2025-12-10,SKU-003,5,388,Shopify
2025-09-15,SKU-025,3,455,Amazon
2025-12-14,SKU-053,1,1126,eBay
2025-12-26,SKU-021,5,138,Amazon
2026-01-05,SKU-028,4,105,Walmart
2026-02-28,SKU-035,2,103,eBay
2025-07-26,SKU-001,2,165,Walmart
2025-09-04,SKU-008,3,105,eBay
2025-07-14,SKU-050,2,61,Walmart
2025-11-27,SKU-026,3,577,Shopify
2025-07-18,SKU-018,1,235,Shopify
2025-11-19,SKU-036,2,124,Shopify
2026-02-21,SKU-035,5,122,Shopify
2025-07-10,SKU-020,1,254,eBay
2025-08-15,SKU-022,4,141,Temu
2026-04-08,SKU-053,4,855,Walmart
2026-03-20,SKU-015,3,942,Walmart
2026-03-22,SKU-055,4,190,Temu
2025-10-10,SKU-004,1,337,Temu
2026-03-05,SKU-021,1,158,Amazon
2025-11-30,SKU-014,2,426,Amazon
2026-04-07,SKU-005,2,327,Shopify
2025-11-15,SKU-042,1,46,Shopify
2026-01-18,SKU-026,2,695,Shopify
2025-06-07,SKU-009,3,114,eBay
2025-10-05,SKU-009,5,91,eBay
2025-11-30,SKU-033,4,303,Shopify
2025-07-03,SKU-030,3,221,Temu
2025-07-29,SKU-028,4,73,eBay
2025-10-16,SKU-051,5,74,Amazon
2025-10-09,SKU-050,4,73,Temu
2025-10-18,SKU-040,2,146,Walmart
2025-08-02,SKU-055,2,131,Amazon
2026-03-04,SKU-015,1,1029,eBay
2026-01-30,SKU-049,2,85,Amazon
2025-11-22,SKU-029,2,146,eBay
2026-01-04,SKU-025,5,541,Temu
2025-10-03,SKU-024,4,650,eBay
2025-11-13,SKU-025,3,755,Shopify
2025-12-11,SKU-010,1,93,eBay
2026-03-09,SKU-004,1,329,eBay
2025-09-26,SKU-003,3,363,Shopify
2025-06-17,SKU-013,5,516,Shopify
2026-04-17,SKU-031,5,109,eBay
2025-11-09,SKU-038,5,190,Walmart
2025-08-04,SKU-018,2,278,Walmart
2026-01-22,SKU-003,4,345,Shopify
2025-12-21,SKU-005,3,444,Amazon
2026-03-22,SKU-017,1,287,eBay
2025-12-24,SKU-010,2,98,Walmart
2025-08-25,SKU-012,4,201,Temu
2025-08-17,SKU-033,5,240,eBay
2025-07-23,SKU-027,4,112,Amazon
2026-02-05,SKU-037,1,163,Amazon
2026-01-26,SKU-047,4,320,Walmart
2025-11-15,SKU-005,2,372,Walmart
2025-11-06,SKU-021,5,122,eBay
2026-03-12,SKU-025,2,657,Shopify
2025-08-07,SKU-003,3,295,Amazon
2025-07-29,SKU-014,5,554,Shopify
2026-04-23,SKU-028,3,77,Temu
2025-10-18,SKU-021,5,135,Shopify
2026-04-09,SKU-019,5,235,Amazon
2025-12-14,SKU-055,4,164,eBay
2026-01-31,SKU-007,3,98,Shopify
2025-11-25,SKU-051,1,107,Amazon
2026-01-23,SKU-046,4,612,Amazon
2026-04-10,SKU-006,2,413,Temu
2025-07-20,SKU-035,4,116,Amazon
2025-05-24,SKU-057,3,571,Temu
2025-12-05,SKU-007,3,79,Temu
2026-02-27,SKU-005,4,312,Temu
2025-06-07,SKU-050,2,54,Temu
2026-04-29,SKU-055,1,201,Walmart
2026-03-20,SKU-003,5,292,Temu
2025-06-29,SKU-025,5,628,Amazon
2026-01-19,SKU-050,3,52,eBay
2025-07-28,SKU-057,1,478,Amazon
2026-04-09,SKU-048,5,300,Amazon
2025-11-07,SKU-013,4,520,Amazon
2026-03-30,SKU-002,2,253,Walmart
2025-06-05,SKU-053,3,1104,eBay
2025-07-02,SKU-035,1,126,Amazon
2026-04-16,SKU-012,4,291,Walmart
2025-07-08,SKU-034,2,387,eBay
2025-07-12,SKU-050,2,62,Amazon
2025-11-13,SKU-045,5,576,Walmart
2025-10-14,SKU-018,5,238,eBay
2025-08-22,SKU-013,1,397,eBay
2025-12-02,SKU-038,5,166,Walmart
2025-10-02,SKU-057,2,431,Temu
2025-11-16,SKU-017,3,285,eBay
2025-11-08,SKU-003,1,255,eBay
2025-06-08,SKU-004,5,317,Amazon
2026-03-09,SKU-028,5,67,Temu
2025-10-07,SKU-017,2,199,Shopify
2026-01-16,SKU-030,4,184,Amazon
2025-11-17,SKU-016,2,788,Walmart
2026-03-10,SKU-023,1,604,Walmart
2025-07-17,SKU-060,4,118,Amazon
2025-06-09,SKU-053,5,891,Temu
2025-06-08,SKU-029,5,150,eBay
2026-04-13,SKU-033,1,233,Walmart
2025-09-13,SKU-050,3,66,Walmart
2026-04-25,SKU-031,5,105,Amazon
2025-12-24,SKU-005,2,449,eBay
2026-01-05,SKU-038,2,162,Walmart
2025-12-05,SKU-033,2,245,Walmart
2025-12-12,SKU-038,1,251,eBay
2026-02-28,SKU-033,2,267,Walmart
2025-09-28,SKU-059,2,149,Amazon
2026-02-03,SKU-033,3,330,Walmart
2025-11-05,SKU-031,1,83,eBay
2025-11-06,SKU-017,2,293,Amazon
2025-08-10,SKU-004,1,241,Walmart
2025-11-18,SKU-034,4,351,Temu
2026-02-24,SKU-057,2,640,Shopify
2026-03-16,SKU-010,3,145,Temu
2026-01-11,SKU-028,2,84,eBay
2025-11-07,SKU-010,4,84,Temu
2025-09-24,SKU-034,3,336,Temu
2025-08-16,SKU-050,2,59,Temu
2025-12-30,SKU-059,4,138,Temu
2025-06-03,SKU-024,5,844,Walmart
2026-04-12,SKU-003,1,283,Walmart
2025-06-24,SKU-004,4,308,eBay
2025-09-29,SKU-045,1,576,Walmart
2025-10-16,SKU-042,1,70,Walmart
2025-06-24,SKU-044,3,60,Shopify
2025-07-22,SKU-055,4,192,eBay
2025-08-20,SKU-043,3,37,Amazon
2025-10-15,SKU-009,3,111,Temu
2025-05-23,SKU-013,4,410,eBay
2025-12-12,SKU-052,4,84,Shopify
2026-04-12,SKU-059,5,105,Amazon
2025-08-06,SKU-030,4,171,Shopify
2025-10-24,SKU-041,5,68,Temu
2025-07-29,SKU-040,5,150,eBay
2025-09-21,SKU-056,1,162,Walmart
2025-11-07,SKU-046,1,538,Shopify
2025-10-08,SKU-058,1,570,Temu
2025-11-19,SKU-048,3,288,eBay
2025-11-03,SKU-046,4,744,Temu
2025-11-14,SKU-010,4,87,Shopify
2025-08-25,SKU-050,4,88,Temu
2025-09-20,SKU-055,4,145,Shopify
2026-05-12,SKU-033,3,211,Amazon
2025-12-16,SKU-009,5,131,Amazon
2026-04-30,SKU-006,5,295,Shopify
2025-06-10,SKU-018,2,288,eBay
2025-09-03,SKU-053,3,1077,Walmart
2026-04-29,SKU-007,4,112,Amazon
2025-08-29,SKU-008,2,92,Amazon
2025-06-20,SKU-018,1,181,Temu
2026-04-30,SKU-055,3,124,Amazon
2025-12-17,SKU-004,3,257,Shopify
2025-07-03,SKU-018,5,258,Shopify
2026-04-30,SKU-014,3,322,Walmart
2025-07-13,SKU-043,1,39,Amazon
2026-03-31,SKU-022,1,115,eBay
2025-10-04,SKU-050,1,51,Temu
2025-11-15,SKU-049,5,84,Temu
2025-10-29,SKU-056,2,188,Walmart
2026-02-18,SKU-045,5,641,eBay
2025-08-25,SKU-060,2,127,eBay
2026-05-15,SKU-055,5,189,Shopify
2026-04-30,SKU-046,5,745,eBay
